year,month,day,hour,minute,ncores
2022,6,30,19,45,16
2022,6,3,17,45,16
2022,6,6,17,15,15
2022,6,6,17,30,16
2022,6,6,17,45,17
2022,6,9,17,0,18
2022,6,9,17,15,16
2022,6,9,17,30,17
2022,6,9,17,45,16
2022,6,10,17,0,17
2022,6,10,17,15,15
2022,6,10,17,30,16
2022,6,10,17,45,16
2022,6,12,17,0,17
2022,6,12,17,15,17
2022,6,12,17,30,18
2022,6,12,17,45,16
2022,6,16,17,0,18
2022,6,16,17,15,17
2022,6,18,17,0,15
2022,6,20,17,0,22
2022,6,20,17,15,22
2022,6,20,17,30,17
2022,6,20,17,45,17
2022,6,21,17,15,17
2022,6,21,17,30,15
2022,6,21,17,45,18
2022,6,22,17,0,16
2022,6,22,17,15,18
2022,6,22,17,30,17
2022,6,22,17,45,15
2022,6,24,17,15,16
2022,6,27,17,0,16
2022,6,27,17,15,21
2022,6,27,17,30,17
2022,6,5,18,0,16
2022,6,5,18,15,18
2022,6,5,18,30,18
2022,6,5,18,45,18
2022,6,6,18,0,15
2022,6,12,18,0,16
2022,6,12,18,15,15
2022,6,12,18,30,17
2022,6,12,18,45,15
2022,6,16,18,15,16
2022,6,16,18,30,22
2022,6,16,18,45,21
2022,6,21,18,0,18
2022,6,21,18,15,16
2022,6,21,18,30,17
2022,6,22,18,0,20
2022,6,22,18,15,19
2022,6,3,15,0,15
2022,6,3,15,15,18
2022,6,3,15,45,16
2022,6,6,15,0,17
2022,6,6,15,15,19
2022,6,6,15,30,18
2022,6,6,15,45,18
2022,6,9,15,0,15
2022,6,9,15,15,20
2022,6,9,15,30,24
2022,6,9,15,45,21
2022,6,10,15,0,15
2022,6,10,15,15,19
2022,6,10,15,30,18
2022,6,10,15,45,17
2022,6,12,15,0,16
2022,6,12,15,15,15
2022,6,12,15,30,17
2022,6,12,15,45,15
2022,6,13,15,0,15
2022,6,13,15,15,18
2022,6,13,15,30,17
2022,6,13,15,45,17
2022,6,19,15,0,19
2022,6,19,15,15,17
2022,6,19,15,30,21
2022,6,19,15,45,19
2022,6,20,15,0,20
2022,6,20,15,15,23
2022,6,20,15,30,24
2022,6,20,15,45,22
